Country Name,2019
Uzbekistan,99.999946594
Belarus,99.874000549
Azerbaijan,99.795982361
Georgia,99.558441162
Serbia,99.482528687
Europe & Central Asia (excluding high income),99.043487549
Europe & Central Asia (IDA & IBRD countries),99.013153076
Uruguay,98.770347595
Europe & Central Asia,98.378967285
United Arab Emirates,97.556922913
Singapore,97.47958374
West Bank and Gaza,97.378257751
Turkey,96.742210388
Late-demographic dividend,96.340080261
Philippines,96.278167725
East Asia & Pacific (excluding high income),96.026786804
East Asia & Pacific (IDA & IBRD countries),95.978103638
East Asia & Pacific,95.774009705
Vietnam,95.753868103
Panama,95.736076355
Upper middle income,95.648338318
Colombia,95.249267578
South Africa,95.022972107
Malaysia,94.971130371
Latin America & Caribbean,94.294509888
Latin America & the Caribbean (IDA & IBRD countries),94.194488525
Latin America & Caribbean (excluding high income),94.170280457
Paraguay,93.213531494
Sri Lanka,92.252960205
Cote d'Ivoire,89.893417358
IBRD only,89.365531921
El Salvador,89.137916565
Myanmar,89.069946289
Honduras,88.50743103
Small states,86.90550231899999
World,86.478302002
Middle income,86.396263123
Other small states,85.364227295
IDA & IBRD total,84.406951904
Low & middle income,84.29309082
Early-demographic dividend,79.840988159
Middle East & North Africa,79.310142517
Middle East & North Africa (excluding high income),76.342407227
Middle East & North Africa (IDA & IBRD countries),76.099906921
Lower middle income,75.967567444
Bangladesh,74.684463501
Arab World,73.114250183
South Asia,72.951446533
South Asia (IDA & IBRD),72.951446533
IDA blend,66.981452942
Togo,66.537078857
IDA total,66.526329041
IDA only,66.05657196
Sub-Saharan Africa,65.468612671
Sub-Saharan Africa (IDA & IBRD countries),65.468612671
Sub-Saharan Africa (excluding high income),65.421966553
Least developed countries: UN classification,64.857803345
Fragile and conflict affected situations,63.749370575
Pre-demographic dividend,62.559181213
Heavily indebted poor countries (HIPC),62.505191803
Low income,60.958049774
Pakistan,57.998859406
