Country Name,2018
Burundi,2572155
Suriname,1644005
Comoros,1595299
Namibia,1566783
Benin,1511129
Rwanda,1358886
Timor-Leste,1339682
Cameroon,1224649
Other small states,1128635
Morocco,1012767
Small states,985271
Low income,925912
Fragile and conflict affected situations,920595
Guatemala,901374
Heavily indebted poor countries (HIPC),895124
Djibouti,866638
Mozambique,864903
Least developed countries: UN classification,816665
Eritrea,812316
Pre-demographic dividend,789592
IDA only,784643
Cabo Verde,774608
Sub-Saharan Africa (excluding high income),757502
Sub-Saharan Africa,757461
Sub-Saharan Africa (IDA & IBRD countries),757461
Togo,756026
Bhutan,729993
Belize,667993
Lebanon,626983
IDA total,614438
Middle East & North Africa (IDA & IBRD countries),598759
Middle East & North Africa (excluding high income),592468
Arab World,575338
Burkina Faso,570354
Algeria,550096
Middle East & North Africa,535374
Caribbean small states,468625
Dominican Republic,463579
Pacific island small states,453663
Latin America & the Caribbean (IDA & IBRD countries),444694
Latin America & Caribbean,439285
Lao PDR,415481
Bangladesh,414134
Afghanistan,407978
El Salvador,378063
Senegal,358786
Low & middle income,334122
"Bahamas, The",323007
World,313966
St. Lucia,291042
Jamaica,284127
Peru,274198
Madagascar,260745
Grenada,240243
Euro area,236981
Upper middle income,235995
Costa Rica,231226
Early-demographic dividend,228119
Bolivia,226449
IDA blend,225266
Monaco,212014
Middle income,211434
"Egypt, Arab Rep.",211227
Turks and Caicos Islands,209239
St. Vincent and the Grenadines,206092
Lower middle income,196032
Tanzania,187322
Pakistan,186497
IBRD only,186087
Ghana,180744
Colombia,179565
"Macao SAR, China",170042
Mauritania,169825
European Union,165396
Late-demographic dividend,149388
Sierra Leone,148204
North America,147143
High income,142089
OECD members,140344
Thailand,138965
Antigua and Barbuda,137311
Post-demographic dividend,136303
Indonesia,133223
South Asia,129332
South Asia (IDA & IBRD),129332
Europe & Central Asia,123437
Saudi Arabia,122919
Jordan,115416
Central Europe and the Baltics,101256
Samoa,99025
Albania,84806
Vietnam,81974
Andorra,73988
Europe & Central Asia (IDA & IBRD countries),72771
Europe & Central Asia (excluding high income),69772
East Asia & Pacific,67516
East Asia & Pacific (excluding high income),67266
Cambodia,63817
India,59637
Solomon Islands,57812
Serbia,55998
Kuwait,51485
Myanmar,47991
Ecuador,47051
Tuvalu,45317
Cuba,44902
Latin America & Caribbean (excluding high income),44405
"Hong Kong SAR, China",40221
Georgia,38969
IDA & IBRD total,33456
Bahrain,32823
Montenegro,31562
Armenia,27312
Azerbaijan,12816
Bosnia and Herzegovina,9286
Brunei Darussalam,8107
Ukraine,7265
West Bank and Gaza,7108
East Asia & Pacific (IDA & IBRD countries),6786
Mongolia,6013
Kazakhstan,4435
Belarus,4302
Kyrgyz Republic,1892
Mauritius,1004
Uzbekistan,125
China,75
Cayman Islands,0
Moldova,0
Oman,0
San Marino,0
