;code;indicator;indicator_val;urban_rural
1;ARG;Labo_stop;36,30184937;National
2;ARG;Labo_stop;37,52180862;Urban
3;ARG;Labo_stop;28,00399017;Rural
4;ARM;Labo_stop;15,16631985;National
5;ARM;Labo_stop;11,52136707;Rural
6;ARM;Labo_stop;16,97393608;Urban
7;BFA;Labo_stop;11,56333351;National
8;BFA;Labo_stop;9,786295891;Rural
9;BFA;Labo_stop;15,79731274;Urban
10;BGR;Labo_stop;9,754136086;National
11;BGR;Labo_stop;10,18069744;Urban
12;BGR;Labo_stop;8,719503403;Rural
13;BOL;Labo_stop;69,27500916;National
14;BOL;Labo_stop;61,89728546;Rural
15;BOL;Labo_stop;71,66326141;Urban
16;CAF;Labo_stop;33,15874481;National
17;CAF;Labo_stop;33,15874481;NA
18;CHL;Labo_stop;30,84464073;National
19;CHL;Labo_stop;28,33306885;Rural
20;CHL;Labo_stop;31,42605782;Urban
21;COD;Labo_stop;39,45085907;National
22;COD;Labo_stop;39,45085907;NA
23;COG;Labo_stop;30,75221825;National
24;COG;Labo_stop;30,75221825;NA
25;COL;Labo_stop;51,80539322;National
26;COL;Labo_stop;53,56940079;Urban
27;COL;Labo_stop;47,12924194;Rural
28;CRI;Labo_stop;35,65462112;National
29;CRI;Labo_stop;33,17012787;Urban
30;CRI;Labo_stop;38,57683563;Rural
31;DJI;Labo_stop;26,80783272;National
32;DJI;Labo_stop;26,80783272;NA
33;DOM;Labo_stop;51,59682083;National
34;DOM;Labo_stop;54,27488708;Rural
35;DOM;Labo_stop;50,9518013;Urban
36;ECU;Labo_stop;51,01881027;National
37;ECU;Labo_stop;49,9819603;Rural
38;ECU;Labo_stop;51,63176727;Urban
39;GEO;Labo_stop;34,95053864;National
40;GEO;Labo_stop;33,92385864;Urban
41;GEO;Labo_stop;38,11589813;Rural
42;GHA;Labo_stop;28,85931396;National
43;GHA;Labo_stop;29,74247932;Rural
44;GHA;Labo_stop;28,64310074;Urban
45;GIN;Labo_stop;19,31760406;National
46;GIN;Labo_stop;19,31760406;NA
47;GMB;Labo_stop;25,40983772;National
48;GMB;Labo_stop;23,80768776;Rural
49;GMB;Labo_stop;26,38076591;Urban
50;GTM;Labo_stop;42,36757278;National
51;GTM;Labo_stop;42,36757278;NA
52;HND;Labo_stop;52,35917664;National
53;HND;Labo_stop;52,35917664;NA
54;HRV;Labo_stop;21,83351898;National
55;HRV;Labo_stop;23,96850204;Rural
56;HRV;Labo_stop;20,3190918;Urban
57;IDN;Labo_stop;23,37731743;National
58;IDN;Labo_stop;26,34415627;Urban
59;IDN;Labo_stop;18,4755497;Rural
60;IRQ;Labo_stop;19,82647324;National
61;IRQ;Labo_stop;25,85085678;Rural
62;IRQ;Labo_stop;17,62836266;Urban
63;KEN;Labo_stop;7,643077374;National
64;KEN;Labo_stop;15,10468102;Urban
65;KEN;Labo_stop;4,308600426;Rural
66;KHM;Labo_stop;13,97847366;National
67;KHM;Labo_stop;14,00446415;Rural
68;KHM;Labo_stop;13,83921242;Urban
69;LAO;Labo_stop;12,77645683;National
70;LAO;Labo_stop;13,41085911;Urban
71;LAO;Labo_stop;12,42669201;Rural
72;LBN;Labo_stop;28,37728882;National
73;LBN;Labo_stop;28,37728882;NA
74;MDG;Labo_stop;7,828625202;National
75;MDG;Labo_stop;14,36561775;Urban
76;MDG;Labo_stop;6,429014206;Rural
77;MEX;Labo_stop;39,67591095;National
78;MEX;Labo_stop;43,94293594;Rural
79;MEX;Labo_stop;38,46444321;Urban
80;MLI;Labo_stop;28,71100235;National
81;MLI;Labo_stop;28,21862793;Rural
82;MLI;Labo_stop;29,91767883;Urban
83;MMR;Labo_stop;56,57749176;National
84;MMR;Labo_stop;55,80041504;Rural
85;MMR;Labo_stop;58,38806152;Urban
86;MNG;Labo_stop;18,89204025;National
87;MNG;Labo_stop;13,81392288;Rural
88;MNG;Labo_stop;21,62196159;Urban
89;MOZ;Labo_stop;32,88765717;National
90;MOZ;Labo_stop;32,88765717;Urban
91;MUS;Labo_stop;18,4752636;National
92;MUS;Labo_stop;18,4752636;NA
93;MWI;Labo_stop;11,67027283;National
94;MWI;Labo_stop;11,58121872;Urban
95;MWI;Labo_stop;11,69191837;Rural
96;NGA;Labo_stop;49,79780197;National
97;NGA;Labo_stop;44,96344376;Rural
98;NGA;Labo_stop;60,49404144;Urban
99;PER;Labo_stop;59,34235001;National
100;PER;Labo_stop;60,47540283;Urban
101;PER;Labo_stop;55,62496185;Rural
102;PHL;Labo_stop;28,46062469;National
103;PHL;Labo_stop;29,77143288;Urban
104;PHL;Labo_stop;27,10250854;Rural
105;PNG;Labo_stop;0;National
106;PNG;Labo_stop;0;Rural
107;PNG;Labo_stop;0;Urban
108;POL;Labo_stop;21,92090416;National
109;POL;Labo_stop;20,26266479;Urban
110;POL;Labo_stop;24,43181801;Rural
111;PRY;Labo_stop;42,69731903;National
112;PRY;Labo_stop;42,73664856;Rural
113;PRY;Labo_stop;42,68356705;Urban
114;PSE;Labo_stop;21,57471085;National
115;PSE;Labo_stop;17,24684143;NA
116;PSE;Labo_stop;18,65630531;Rural
117;PSE;Labo_stop;22,5845623;Urban
118;ROU;Labo_stop;25,31072426;National
119;ROU;Labo_stop;23,51766205;Rural
120;ROU;Labo_stop;26,48464966;Urban
121;RWA;Labo_stop;21,52741051;National
122;RWA;Labo_stop;20,64932442;Rural
123;RWA;Labo_stop;24,54113388;Urban
124;SDN;Labo_stop;53,92295074;National
125;SDN;Labo_stop;53,51821136;Rural
126;SDN;Labo_stop;54,73909378;Urban
127;SEN;Labo_stop;35,9132843;National
128;SEN;Labo_stop;35,72997284;Urban
129;SEN;Labo_stop;36,114151;Rural
130;SLB;Labo_stop;15,23521709;National
131;SLB;Labo_stop;14,53928375;Rural
132;SLB;Labo_stop;17,86961937;Urban
133;SLE;Labo_stop;10,14180279;National
134;SLE;Labo_stop;10,44185925;Urban
135;SLE;Labo_stop;9,94348526;Rural
136;SLV;Labo_stop;55,73643875;National
137;SLV;Labo_stop;55,73643875;NA
138;SOM;Labo_stop;33,24821472;National
139;SOM;Labo_stop;37,24425888;Urban
140;SOM;Labo_stop;29,70863533;Rural
141;SOM;Labo_stop;27,87999725;NA
142;SSD;Labo_stop;39,4160614;National
143;SSD;Labo_stop;38,26771545;Urban
144;SSD;Labo_stop;43,3155098;Rural
145;STP;Labo_stop;38,24551392;National
146;STP;Labo_stop;32,23343658;Rural
147;STP;Labo_stop;42,26310349;Urban
148;TCD;Labo_stop;16,82054138;National
149;TCD;Labo_stop;16,02857399;Rural
150;TCD;Labo_stop;19,28100777;Urban
151;THA;Labo_stop;21,12950706;National
152;THA;Labo_stop;3,846179962;NA
153;THA;Labo_stop;24,5976429;Urban
154;THA;Labo_stop;18,66452217;Rural
155;TUN;Labo_stop;63,81892014;National
156;TUN;Labo_stop;62,50796509;Rural
157;TUN;Labo_stop;64,5135498;Urban
158;UGA;Labo_stop;18,77146149;National
